Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
rear-brake-kit,,,,,,,Front,,Black,,,Brake - Front - Tektro - Blk,45,shopify,565,deny,manual,39,,TRUE,TRUE,'712392689632,https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Side_WEB_2ea45cb4-1975-4024-81d7-e74c96103c02.jpeg?v=1438626087,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Black_Front_WEB.jpeg?v=1438626087,lb
rear-brake-kit,,,,,,,Front,,Alloy,,,Brake - Front - Tektro - Silver,45,shopify,273,deny,manual,39,,TRUE,TRUE,'712392689649,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/Tektro_Brake-Kit_Front_WEB_3649b432-beb6-4166-a67f-e51e1a8cc253.jpeg?v=1438626087,lb
brake-pad,Brake Pad,Pure Fix Cycles,Brake,"Black, Brake Pad, Brake Pads, Brakes, Parts, Safety Gear, White",TRUE,Color,Black,,,,,Brake Pads - Black,45,shopify,237,deny,manual,4,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/brake-pad-all-web.jpeg?v=1438626083,,FALSE,,,,,,,,,,,,,,,,,lb
brake-pad,,,,,,,White,,,,,Brake Pads - White,45,shopify,171,deny,manual,4,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/brake_pad_black_web.jpeg?v=1438626083,,,,,,,,,,,,,,,,,,,lb
brake-pad,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/brake_pad_white_web.jpeg?v=1438626083,,,,,,,,,,,,,,,,,,,
bull-horn-bars,Bull Horn Bars,Pure Fix Cycles,Handlebars,"Alloy, Bars, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, Black, Gold, Handlebars, Parts, White",TRUE,Color,Silver,,,,,Handlebar - Bull 25.4 - Silver,907,shopify,179,deny,manual,26,,TRUE,TRUE,'30955168463,https://cdn.shopify.com/s/files/1/0923/8062/products/all-bullhorns-centered.jpeg?v=1438626079,,FALSE,,,,,,,,,,,,,,,,,lb
bull-horn-bars,,,,,,,Black,,,,,Handlebar - Bull 25.4 - Black,907,shopify,218,deny,manual,26,,TRUE,TRUE,'30955168548,https://cdn.shopify.com/s/files/1/0923/8062/products/drop_bars_White.jpeg?v=1438626079,White,,,,,,,,,,,,,,,,,,lb
bull-horn-bars,,,,,,,Gold,,,,,Handlebar - Bull 25.4 - Gold,907,shopify,33,deny,manual,26,,TRUE,TRUE,'30955168555,https://cdn.shopify.com/s/files/1/0923/8062/products/drop_bars_Alloy.jpeg?v=1438626079,Alloy,,,,,,,,,,,,,,,,,,lb
bull-horn-bars,,,,,,,White,,,,,Handlebar - Bull 25.4 - White,907,shopify,52,deny,manual,26,,TRUE,TRUE,'741360639355,https://cdn.shopify.com/s/files/1/0923/8062/products/drop_bars_Black.jpeg?v=1438626079,Black,,,,,,,,,,,,,,,,,,lb
bull-horn-bars,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/drop_bars_Gold.jpeg?v=1438626079,Gold,,,,,,,,,,,,,,,,,,
chain-tensioners,Chain Tensioners,Pure Fix Cycles,Chain Tensioners,"Alloy, Black, Drivetrain, Parts",FALSE,Color,Black,,,,,Chain Tensioners - Black,45,shopify,0,deny,manual,2,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/screw-both.jpeg?v=1438626073,,FALSE,,,,,,,,,,,,,,,,,lb
chain-tensioners,,,,,,,Alloy,,,,,Chain Tensioners - Silver,45,shopify,0,deny,manual,2,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/screw_black.jpeg?v=1438626073,,,,,,,,,,,,,,,,,,,lb
chain-tensioners,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0923/8062/products/screw_chrome.jpeg?v=1438626073,,,,,,,,,,,,,,,,,,,
ray-jean,Club Ride Ray Jean,Club Ride Appparel,Apparel,"Accessories, Apparel, Pants",FALSE,Size,31,,,,,Clubride - Jayjean - 31,227,,1,deny,manual,129.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/jayjean1.jpeg?v=1438626070,,FALSE,,,,,,,,,,,,,,,,,lb
ray-jean,,,,,,,32,,,,,Clubride - Jayjean - 32,227,,0,deny,manual,129.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/jayjean3.jpeg?v=1438626070,,,,,,,,,,,,,,,,,,,lb
ray-jean,,,,,,,33,,,,,Clubride - Jayjean - 33,227,,1,deny,manual,129.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/jayjean2.jpeg?v=1438626070,,,,,,,,,,,,,,,,,,,lb
ray-jean,,,,,,,34,,,,,Clubride - Jayjean - 34,227,,1,deny,manual,129.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
roxbury-jersey,Club Ride Roxbury Jersey,Club Ride Appparel,Apparel,"Accessories, Apparel, Shirt, Shirts",FALSE,Size,S,,,,,Clubride - Roxbury - Char - S,227,,1,deny,manual,89.99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0923/8062/products/roxbury-charcoal.jpeg?v=1438626068,,FALSE,,,,,,,,,,,,,,,,,lb
roxbury-jersey,,,,,,,M,,,,,Clubride - Roxbury - Char - M,227,,1,deny,manual,89.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
roxbury-jersey,,,,,,,L,,,,,Clubride - Roxbury - Char - L,227,,1,deny,manual,89.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
roxbury-jersey,,,,,,,XL,,,,,Clubride - Roxbury - Char - XL,227,,1,deny,manual,89.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,lb
